TITLE,COMAPNY NAME,SKILL SET,JOB DESCRIPTION
Computer Programmer,Black Turtle India Private Limited," Keywords / Skills :  Credit Risk Management, Business, Finance, Accounting, Risk Analytics, Banking Operational, Risk Stress, Testing, Regulatory, Reporting, IFRS, Credit Risk, Modeling, SAS","Job Description   Business: Wholesale Credit Risk IFRS 9 Role Profile Date: Mar 17 Role Title Wholesale Impairment Analytics Centre IFRS9 Aggregation and Regulatory Reporting, Team Lead GHRS Job Code:  Role Purpose (overall high level summary of the role) IFRS 9 Financial Instruments is the most significant risk and accounting change since the initial adoption of IFRS, and one of the most significant changes in credit risk measurement since Basel II.  The role will be to lead the newly created Wholesale Impairments Analytics Team (W-IAC) located in Bangalore which supports the aggregation, review and deep dive analysis of Impairment risk numbers. The team will also assist in strategic decision making.  Tasks include but are not limited to: Working with Group Risk Analytics teams to understand credit risk methodology's relating to IFRS 9  Coordinating activities with Stress Testing, Sovereign Risk & Forward Economic Guidance Teams Being able to manage all levels of stakeholders Close collaboration with other global team will be essential to be successful in the role. Being the main point of contact in Wholesale Credit Risk (WCR) for IFRS 9questions coming from local regions, other HGHQ teams and regulators To be successful in the role, you should meet the following requirements: Strong IFRS 9 subject-matter, business knowledge and technology sense  Understanding of accounting and/or credit risk concepts Experience of financial or risk reporting processes Be able to articulate complex information in clear and structured way to suit audience Experience in managing teams and stakeholders across the regions Ability to cope with rapidly changing priorities Well organized, logical thinker, problem solver Principal Accountabilities: Key activities and decision making areas Typical Targets and Measures Impact on the Business[COMPLETE 3-4 AREAS] Build effective working relationships with related teams (Forward Economic Guidance,Stress Testing etc) Facing off to senior management and ensuring all queries are resolved in a timely manner Managing multiple streams of work and act as expert on the teams deliverables Manage any conflicts with internal and external stakeholders Implement new regulatory requests Meet internal target dates to close requests from stakeholders and regulators Deliver enhanced global reports and analysis Efficient management of responses to regulatory queries Delivery of completed regulatory data templates Delivery of complete documentation Customers / Stakeholders[COMPLETE 3-4 AREAS] Wholesale Credit Risk Management Group Risk Analytics  WMR Stress Testing Teams GB&M Finance, Regulatory Finance Sovereign Risk and Forward Economic Guidance Teams Global Business finance teams  Build solid relationships with stakeholders through meeting behavioral best practices Proactive engagement through open dialogue and transparency on processes and controls Address key topics as and when they arise Leadership & Teamwork[COMPLETE 3-4 AREAS] Deliver requirements against the objectives of Wholesale Credit Risk and understand the broader world of Capital Act as a role model to achieve high standards and lead, develop, motivate and inspire high performance in others Mentor and develop the team in their professional skills and development Feedback from team members and peers Be perceived as a trusted advisor Operational Effectiveness & Control[COMPLETE 3-4 AREAS] Help drive changes of IFRS 9 approaches, and lead the implementation of innovative solutions.  Actively monitor regional practises and guide delivery to ensure that they are in line with Group policies. Ensure that Group Audit reviews of systems and practises related to stress testing and risk measurement proceed smoothly. Review and follow up handover protocols with offshore Managed growth with offshore resources capacity Identify task which can be offshored or not Major Challenges (The challenges inherent in the role that require a continual test of the role holders abilities) Large organization with many internal stakeholders to deal with, influencing through the existing governance. Prioritise work under high demand from all stakeholders, particularly as this is a regulatory driven project with a fixed deadline. Operate under tight deadlines with a process that can be prone to errors and re-runs. Sustain a broad range of activities under a changing infrastructure and regulatory environment. Work effectively with onshore and offshore resources to maximize consistency, timeliness and quality Role Context (The environment and operating conditions of the role including the extent of guidance and authority) The WCR Regional function support both local business and regulatory requirements as well as providing the link to Group function for consolidation purposes. Management of Risk (Operational Risk / FIM requirements) The jobholder will ensure the fair treatment of our customers is at the heart of everything we do, both personally and as an organisation.  The jobholder will also continually reassess the operational risks associated with the role and inherent in the business, taking account of changing economic or market conditions, legal and regulatory requirements, operating procedures and practices, management restructurings, and the impact of new technology.  This will be achieved by ensuring all actions take account of the likelihood of operational risk occurring.  Also by addressing any areas of concern in conjunction with entity management and/or the appropriate department. Observation of Internal Controls (Compliance Policy / FIM requirements) The jobholder will also adhere to and be able to demonstrate adherence to internal controls. This will be achieved by adherence to all relevant procedures, keeping appropriate records and, where appropriate, by the timely implementation of internal and external audit points, including issues raised by external regulators. The jobholder will implement the Group compliance policy by containing compliance risk in liaison with Global Head of Compliance, Global Compliance Officer, Area Compliance Officer or Local Compliance Officer. The term compliance embraces all relevant financial services laws, rules and codes with which the business has to comply.  This will be achieved by adhering to all relevant processes/procedures and by liaising with Compliance department about new business initiatives at the earliest opportunity. Also and when applicable, by ensuring adequate resources are in place and training is provided, fostering a compliance culture and optimising relations with regulators. Role Dimensions (e.g. balance sheet , lending/expenditure limits, /volume of transactions, budget) Managing a small pool of 5 resources Interacting with Regional and Group senior management on a daily basis, being a trusted partner Working with Group Risk Analytics teams to understand credit risk methodology's relating to IFRS 9  Being the main point of contact in Wholesale Credit Risk for IFRS 9questions coming from local regions, other HGHQ teams and regulators Collaborating on strategic change project, either risk driven or regulatory driven Delivery of PRA regulatory information for IFRS 9 Headcount reporting tothis role Direct: 5 Indirect: Total: 1 Knowledge & Experience / Qualifications (For the role not the role holder. Minimum requirements of the role.) University graduate in Finance, Computer Science or numerated related disciplines Some experience in management and keen to develop this dimension. Can demonstrate team building and leadership achievements. Very good presentation skills to brief senior management on topics or summarize key information Good relationship skills with customers, especially under period of pressure Knowledge on trading business & products, risk methodology and regulatory framework. Experience in analytical reporting, e.g. explain of a quantity by breaking down its input variables Able to understand and document processes using data flow diagrams Good level of understandingof Excel & Access (VBA level), PowerPoint and MS Word. Proven track record as an outstanding analyst or consultant Overall financial services industry knowledge with specific functional expertise Proven ability to work across regions whilst maintaining a global perspective Capabilities Decision Making Achieving Excellence Delivery at Pace Collaboration Impactful communication Commerciality Process Re-engineering     About Company   BLACK TURTLE is a premier talent management consultancy firm. The Indian arm was established in the year 2000. Since then the unit has grown manifold and is ranked among the Top 10 across various services and functions.   BLACK TURTLE offers a wide range of services spread across various industries and functions. These services range from executive recruitment to consultancy in devising HR policies to attract and retain the best talent. It includes servicing niche recruitment needs to RPO. We offer multiple solutions under one roof.   BLACK TURTLE is headquartered in Mumbai and has presence across seven cities in the country. It has over 50 consultants spread across with Mumbai being the PDC (Principal Delivery Centre).     Follow"
Computer Programmer,Sampoorna Computer People, Keywords / Skills :  ServiceNow,"Job Description   Roles and responsibilities: The ServiceNow developer is responsible for developing technical solutions on the ServiceNow platform to satisfy the business needs of the IT department and beyond Ideal candidate should have good design knowledge and be willing to research new solutions based on the requirements Development of ITSM & custom modules in ServiceNow Platform following best development practices Support other developers in their work to integrate existing systems with Service Now Support business process owners in configuring the platform Administer the system Creating technical design document and writing Unit test cases Requirement Should have prior working experience in ServiceNow tool Experience & Background Minimum 1 year of implementation/customization experience on ServiceNow B.Tech./BCA/MCA Exposure on ServiceNow integration protocols with other application/systems Excellent attention to details, ability to multitask, and effective time management skills Knowledge of web based development languages; specifically JavaScript, Ajax Exposure of ITSM Framework and ITIL ITIL/ServiceNow certifications will be an added advantage. Excellent Communication Skills     About Company   ""Sampoorna Computer People is a Recruitment Agency established in 1990, providing consultancy exclusively in recruitment of IT, ITES (BPO) & Telecom Professionals. Our Head Office is in Mumbai (Bombay) and we have offices at Bangalore, Chennai (Madras), Delhi, Hyderabad and Pune. We are the first IT & Telecom specialist recruitment consultant certified for ISO 9001:2015 by BVQI India. Sampoorna is a founder member of ERA (Executive Recruiters Association) which is Indias Recruitment Agencys Industry Organization Home page : www.sampoorna.com""     Follow"
Computer Programmer,SupraSoft Technologies Private Limited," Keywords / Skills :  FI-General Ledger (FI-GL),  Accounts Payable (FI-AP),  Account Receivable (FI-AR), GST ","Job Description   Involved in all project phases End to End (Blue Print, Realization, Go Live and Hyper care Support)  FI-General Ledger (FI-GL), Accounts Payable (FI-AP),.  Worked on FI-MM, Integration  Work on APP (Automatic payment program)  Work on MBS (Manual Bank statement)  Creation of house bank.  Work with Asset accounting configuration (NDE)  Work on LSMW (Legacy system migration workbench)  Work on Z reports  Creation of service Tax code , TDS, VAT Tax code     About Company   SupraSoft serves with the goal of providing the best possible software experience and a lower total cost of ownership for our customers. To be one stop solution company for any sector to provide professional service SupraSoft delivers business-specific software that helps enterprising organizations of all sizes  SupraSoft incorporated in 1997 and started providing high quality consulting and Staffing solutions to its clients in India, USA and Middle East regions  SupraSoft Started Application Development Practice in US and executed significant client projects since 2004.     Follow"
Computer Programmer,SBTResearch Inc," Keywords / Skills :  SEO Analyst, Marketing Strategy, content management, SEO, Search engine optimization, Internet marketing, Online marketing, Search engine, SEM, Link Builder","Job Description    Keyword research in coordination with client business objectives to optimize existing content and uncover new opportunities. SEO analysis and recommendations in coordination with elements and structure of websites and web pages.   Recommendations and execute strategies for content development in coordination with SEO goals keyword specific.   Support marketing content to socialize and use for social media purposes (e.g. customer videos briefs, customer case studies, blog posts, posts from analysts and customers).   Implement link building campaigns in coordination with client SEO goals.   Execution of communication/content strategies via social communities in coordination with SEO goals.   SEO, search engine, social media and internet marketing industry trends and developments.   Research and manage social media tools in support of clients social media strategy.   Monitor and manage web analytics dashboards, reports and key reporting tools, and point out key areas of importance in accordance client goals.   Manage and evaluate search results and search performance across the major search channels   Co ordinate to team and management on project development, timelines, and results.   Engage with the other team members to meet client goals.      About Company   SBT Research is a one of the leading global Market research & analysis organization providing end-to-end customized research, analytics, database building and information publishing services. Were constantly expanding our knowledge pool about consumer behaviour, global markets and best-in-class research processes whether it is an end-to-end business research or multi-geography data collection. We focus on bringing market pulse right at your fingertips . We strive to partner with our clients to deliver a wide array of results through a blend of market & business research approaches. This approach of using multiple research and evaluation techniques help us derive greater insights by reducing the research costs. We help you increase your ROI by providing most accurate contact database. This database has been designed & customized to suite your business requirements. We believe in solutions that combine innovation with an intelligent business sense to bring about dramatic improvements in both office process efficiencies and the company's bottom line. Our competitive strength is superior customer service, quality control and cost effective operations. Our website - www.sbtresearch.com     Follow"
Computer Programmer,Wilmer Software Solutions Private Limited," Keywords / Skills :  Full Stack Developer, Technical Lead,  Associate Architect","Job Description   Looking for Full Stack Developers (Technical Lead / Associate Architect) Experience: 6- 10 years Location: Hyderabad Permanent position Required Skills: Strong in Java, Java API, Web Services(Restful), Node JS, Angular JS, Javascript, CSS 3.0, HTML, MYSQL, Cloud using AWS. Interested please share your updated profiles to [HIDDEN TEXT]     About Company   WilmerTech is a systems integrator with strong progressive experience and maturity in the art of harmonizing the business processes and technology solutions for collaborative success of the systems in the business operations several domains. Proven superior processes, in-depth understanding of business needs, and best-in-class solutions is our excellent value.  We have the privilege of working with CMS in USA for bringing digitization of all heath records available with healthcare providers. We architected and developed solutions to bring about interoperability among the desperate formats of EHR/EMR available with the healthcare providers.   WilmerTech delivers a full range of application development, testing, enterprise solutions, business process consulting, systems integration and staffing services as well as pre-defined solution frameworks.We are methodical and our processes are standardized with the industry best practices. WilmerTech has multi-skilled professionals of young, passionate and matured technologists, business analysts and subject matter specialists provide us the distinctive edge in delivering the most cost effective and quality IT services for transformation of business processes into digitized operations. Our teams are groomed to embrace the latest technologies and excel in the delivery of easy to use and ready to deploy solutions.     Follow"
Computer Programmer,Freelancer Rajasekar Lakshmikanthan, Keywords / Skills :  Fresh Graduate,"Job Description   1. Should have analytical and problem-solving skills. 2.Self-starter. 3. Should be very good in programming skills 4. Trained on any coding language would be added value 5. Having knowledge on ETL/ Reporting tool will be added advantage (Not Mandatory) 6. Should have good communication 7. Candidate should be willing to relocate to Chennai and join on or before Mid June 2018     About Company   Orion Governance is a California-based corporation, specializing in building solutions in the Information management space. Our product help companies in the financial, healthcare, insurance and retail spaces comply with regulatory requirements. We operate in the US, Europe (Sweden, Estonia) and in India(Chennai). For more information visit our website : https://www.oriongovernance.com     Follow"
Computer Programmer,," Keywords / Skills :  IOS DEVELOPMENT, MOBILE APPLICATION DEVELOPMENT ","Job Description   Leading Global IT MNC Requires Software Engineer (Mobile IOS ) -Gurgaon ( Only from Top from Engineering colleges need apply) One of our client a an IT Solutions set up operating in around 8 cities in india * & was established with an objective to provide innovative and intelligent interfaces between you and the technological systems that play an ever-greater role in our lives. At Company we are committed to our customers satisfaction by providing them with ingenious end-to-end solutions using state of the art systems, the latest computing technologies, and all with the economic advantage of an overseas software consulting firm. We have built a honorable reputation in this industry by providing our customer's with the best price, quality, reliability, and support. v Systems Programming v Embedded Programming v GIS and Remote sensing v Geospatial data Intelligence v Enterprise level applications i.e. CRM, Knowledge Mgmt. System, etc v Web based Content Management System (WCMS) v Smart Mobile Device Applications v Control System and Automation v Systems Engineering v Business Process & Document Management applications We are looking for Software Engineer (Mobile IOS Development) for our client's office in Gurgaon The details are as follows- 1)Client IT set up 2) Position Software Engineer (Mobile IOS Development) 3)Experience 2- 4 years in IOS Development 4) Location Gurgaon 5)Qualification- Any Graduate ( Preferably a technical graduate) 6) Compensation -18- 22LPA THE JD IS AS FOLLOWS- Experience : 2- 4 Years Function : Technology - IT & Systems Job Description : Job Description : Job Profile: Software Engineer Mobile (iOS) Skills & Qualifications:  At least an undergraduate degree in Computer Science, Engineering, preferably from IITs/Top RECs 1-3 years of experience at cutting edge organizations or startups Extensive mobile development experience with iOS Proficiency in Swift, Cocoa More than one application developed end to end for iPhone  Experience with e business/e commerce applications and business environment is a must Any experience with internet companies or the travel industry will be a plus Must have  Good understanding of Swift, Objective C, Cocoa framework, UIKit, Xcode & iOS applications  Extensive use of Instruments and Shark to detect memory leaks and for performance optimization  Good grasp of algorithms, memory management and multithreaded programming  Great people skills!  Able to fit in well within an informal startup environment and to provide hands-on management  High energy level and untiring commitment to drive oneself & the team towards goals Qualification : Bachelor of Engineering/ Bachelor of Technology from Top Engineering colleges/ Universities Working Days : 5 Days a Week ( to ) Job Nature : Full Time If the position interests you kindly send in your cv at- [HIDDEN TEXT] Or contact - Pavani -8978519087 ( Mention the following on your cv) - Current ctc & notice period - Expected ctc - Qualification - Relevant experinece - Current location -"
Computer Programmer,RD Global Services," Keywords / Skills :  Asp.Net, SQL Server, C#, MVC","Job Description    Having 5 - 7 years of solid working experience in ASP.NET, C#, ADO.NET & SQL Server  Ability to adapt quickly to an existing, complex environment  Ability to quickly lean new concepts and software is necessary  Ability to contribute individually and work well with a team under scheduled deadlines, and have passion for delivering high quality output.  Maintaining existing software systems by identifying and correcting software defects  Good verbal and written communication skills  Experience in Web Services and WCF will be an advantage.  Solid understanding of OOPS     About Company   Company  RD Global Services is an organization with dynamic group of professionals having a rich blend of IT Consulting and Corporate Human Resources experience spending substantial amount of time in handling assignments of varied nature both generic and niche skill-sets across all levels.   RD Global Services time & again has been recognized by its clients for continuous strive for excellence. The parameters that make us stand apart from the others in the league is our authentic and proven business processes resulting in long term association with our clients in finding the right resources within stipulated time frame and Service Level Agreements.   Key Differentiators :  Our recruitment professionals are well competent in understanding your requirements perfectly to do a 360 degree resume screening to ensure the right fit. Our focus is to deliver the best quality with quick turnaround time by keeping your interests above our own. One unique differentiating factor is that we build and nurture healthy relationship with potential consultants taking care of their career aspirations and goals, thus enabling us to support our client's hiring needs holistically.  Our mission is to find creative solutions and translate them into tangible, repeatable results by applying accredited Software Engineering Processes enabling our customers to benefit in cost, quality, schedules and return on investment.     Follow"
Computer Programmer,Subhujo Technologies Private Limited, Keywords / Skills :  iOS developer,"Job Description   JOB DESCRIPTION:  4+ years experience in Native IOS Development  Objective-C, or increasingly, the Swift 3.0 programming language  Apples Xcode IDE  Frameworks and APIs like Foundation, UIKit, and CocoaTouch  Apple Human Interface Guidelines  2D and 3D graphics frameworks like SpriteKit and SceneKit  OpenGL or Metal, iOS graphics APIs  Familiarity with iOS 10 and newer OS versions  A Git code repository technology  iOS Networking with Swift  iOS Persistence and Core Data  Grand Central Dispatch - beneficial     About Company   Subhujo Technologies is highly regarded for their expertise and innovation in the staffing and consulting industry.  IT Projects, Products and Consulting services.  Dedicated offshore development team  Subhujo Technologies is a leading provider of permanent, contract and temporary staffing solutions. Having a strong understanding of today's technologies, market conditions and environment allows us to consistently exceed our clients' expectations.  We differentiate ourselves on the combination of speed, cost and quality. We get you the team you need faster and more economically.  We provide cost efficient, premium quality recruitment and consulting services for your staffing and recruitment needs.  Specializes in the provision of tailored staffing and recruitment solutions to all sectors of the IT industry.     Follow"
Computer Programmer,Subhujo Technologies Private Limited, Keywords / Skills :  Android Developer,"Job Description   Job Description  To design, develop, test & deploy native android applications. Be involved in all aspects of development playing a critical role in design, planning, development and deployment and help develop best practices for future development. Fast prototyping of proof-of concept features / application based on brief. Development experience with Android OS and Knowledge of Web services/API interactions, Audio/Video streaming, SQLite, JSON/XML Parsing. Understanding of OOPS Concepts and good command over JAVA (Collections, Exception Handling, Input-Output.) Knowledge of Android related concepts like Activity life cycle, Fragments, Services, Intent, Social SDKs, Layouts. Strong grasp of algorithms and data structures. Experience of developing Social networking application is a bonus. Comfortable in a start-up culture based on respect, low hierarchy, high transparency, and fast sprint work styles. Preferably should have deployed 5-6 commercial android applications.     About Company   Subhujo Technologies is highly regarded for their expertise and innovation in the staffing and consulting industry.  IT Projects, Products and Consulting services.  Dedicated offshore development team  Subhujo Technologies is a leading provider of permanent, contract and temporary staffing solutions. Having a strong understanding of today's technologies, market conditions and environment allows us to consistently exceed our clients' expectations.  We differentiate ourselves on the combination of speed, cost and quality. We get you the team you need faster and more economically.  We provide cost efficient, premium quality recruitment and consulting services for your staffing and recruitment needs.  Specializes in the provision of tailored staffing and recruitment solutions to all sectors of the IT industry.     Follow"
